[2021-05-21 12:17:13,198][iopath.fb.manifold][INFO] - Caching manifold://compphoto_data/tree/pretrained/third-party/LPIPS/alexnet-owt-4df8aa71.pth ...
[2021-05-21 12:17:46,540][__main__][INFO] - Pair: pair_000017 l1=0.08867549896240234
[2021-05-21 12:17:46,543][__main__][INFO] - Pair: pair_000017 l1_masked=0.1560584157705307
[2021-05-21 12:17:46,545][__main__][INFO] - Pair: pair_000017 psnr=15.342405319213867
[2021-05-21 12:17:46,548][__main__][INFO] - Pair: pair_000017 psnr_masked=12.887568473815918
[2021-05-21 12:17:46,563][__main__][INFO] - Pair: pair_000017 lpips=0.3439938426017761
[2021-05-21 12:17:46,725][__main__][INFO] - Pair: pair_000017 ssim=0.7662412524223328
[2021-05-21 12:17:46,763][__main__][INFO] - Pair: pair_000018 l1=0.19534431397914886
[2021-05-21 12:17:46,766][__main__][INFO] - Pair: pair_000018 l1_masked=0.22746051847934723
[2021-05-21 12:17:46,768][__main__][INFO] - Pair: pair_000018 psnr=11.63512134552002
[2021-05-21 12:17:46,772][__main__][INFO] - Pair: pair_000018 psnr_masked=10.974067687988281
[2021-05-21 12:17:46,792][__main__][INFO] - Pair: pair_000018 lpips=0.6746104955673218
[2021-05-21 12:17:46,966][__main__][INFO] - Pair: pair_000018 ssim=0.47729822993278503
[2021-05-21 12:17:47,005][__main__][INFO] - Pair: pair_000019 l1=0.16741551458835602
[2021-05-21 12:17:47,008][__main__][INFO] - Pair: pair_000019 l1_masked=0.1977345198392868
[2021-05-21 12:17:47,010][__main__][INFO] - Pair: pair_000019 psnr=12.2089204788208
[2021-05-21 12:17:47,013][__main__][INFO] - Pair: pair_000019 psnr_masked=11.486052513122559
[2021-05-21 12:17:47,033][__main__][INFO] - Pair: pair_000019 lpips=0.5975164175033569
[2021-05-21 12:17:47,212][__main__][INFO] - Pair: pair_000019 ssim=0.48617491126060486
[2021-05-21 12:17:47,247][__main__][INFO] - Pair: pair_000020 l1=0.13465872406959534
[2021-05-21 12:17:47,249][__main__][INFO] - Pair: pair_000020 l1_masked=0.14931105077266693
[2021-05-21 12:17:47,250][__main__][INFO] - Pair: pair_000020 psnr=14.453314781188965
[2021-05-21 12:17:47,253][__main__][INFO] - Pair: pair_000020 psnr_masked=14.004739761352539
[2021-05-21 12:17:47,268][__main__][INFO] - Pair: pair_000020 lpips=0.5320721864700317
[2021-05-21 12:17:47,417][__main__][INFO] - Pair: pair_000020 ssim=0.5137980580329895
[2021-05-21 12:17:47,449][__main__][INFO] - Pair: pair_000021 l1=0.19789329171180725
[2021-05-21 12:17:47,452][__main__][INFO] - Pair: pair_000021 l1_masked=0.245553120970726
[2021-05-21 12:17:47,453][__main__][INFO] - Pair: pair_000021 psnr=10.886836051940918
[2021-05-21 12:17:47,456][__main__][INFO] - Pair: pair_000021 psnr_masked=9.949691772460938
[2021-05-21 12:17:47,470][__main__][INFO] - Pair: pair_000021 lpips=0.6662219762802124
[2021-05-21 12:17:47,604][__main__][INFO] - Pair: pair_000021 ssim=0.5495133996009827
[2021-05-21 12:17:47,636][__main__][INFO] - Pair: pair_000022 l1=0.19593697786331177
[2021-05-21 12:17:47,639][__main__][INFO] - Pair: pair_000022 l1_masked=0.1959574669599533
[2021-05-21 12:17:47,640][__main__][INFO] - Pair: pair_000022 psnr=11.67300796508789
[2021-05-21 12:17:47,642][__main__][INFO] - Pair: pair_000022 psnr_masked=11.672554016113281
[2021-05-21 12:17:47,656][__main__][INFO] - Pair: pair_000022 lpips=0.7879778742790222
[2021-05-21 12:17:47,788][__main__][INFO] - Pair: pair_000022 ssim=0.4740023910999298
[2021-05-21 12:17:47,820][__main__][INFO] - Pair: pair_000023 l1=0.14205516874790192
[2021-05-21 12:17:47,822][__main__][INFO] - Pair: pair_000023 l1_masked=0.16825272142887115
[2021-05-21 12:17:47,823][__main__][INFO] - Pair: pair_000023 psnr=12.401362419128418
[2021-05-21 12:17:47,826][__main__][INFO] - Pair: pair_000023 psnr_masked=11.666312217712402
[2021-05-21 12:17:47,840][__main__][INFO] - Pair: pair_000023 lpips=0.6256632208824158
[2021-05-21 12:17:47,973][__main__][INFO] - Pair: pair_000023 ssim=0.6342974901199341
[2021-05-21 12:17:48,006][__main__][INFO] - Pair: pair_000024 l1=0.13929860293865204
[2021-05-21 12:17:48,008][__main__][INFO] - Pair: pair_000024 l1_masked=0.15430262684822083
[2021-05-21 12:17:48,010][__main__][INFO] - Pair: pair_000024 psnr=14.438220977783203
[2021-05-21 12:17:48,012][__main__][INFO] - Pair: pair_000024 psnr_masked=13.993955612182617
[2021-05-21 12:17:48,028][__main__][INFO] - Pair: pair_000024 lpips=0.42423826456069946
[2021-05-21 12:17:48,162][__main__][INFO] - Pair: pair_000024 ssim=0.5381793975830078
[2021-05-21 12:17:48,199][__main__][INFO] - Pair: pair_000025 l1=0.20902206003665924
[2021-05-21 12:17:48,202][__main__][INFO] - Pair: pair_000025 l1_masked=0.22121217846870422
[2021-05-21 12:17:48,204][__main__][INFO] - Pair: pair_000025 psnr=10.571645736694336
[2021-05-21 12:17:48,207][__main__][INFO] - Pair: pair_000025 psnr_masked=10.325475692749023
[2021-05-21 12:17:48,227][__main__][INFO] - Pair: pair_000025 lpips=0.6168419122695923
[2021-05-21 12:17:48,385][__main__][INFO] - Pair: pair_000025 ssim=0.5573633909225464
[2021-05-21 12:17:48,418][__main__][INFO] - Pair: pair_000026 l1=0.16924725472927094
[2021-05-21 12:17:48,421][__main__][INFO] - Pair: pair_000026 l1_masked=0.19531725347042084
[2021-05-21 12:17:48,422][__main__][INFO] - Pair: pair_000026 psnr=12.243288040161133
[2021-05-21 12:17:48,425][__main__][INFO] - Pair: pair_000026 psnr_masked=11.621097564697266
